especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2018,2018,Ago,246.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2018,2018,Ago,251.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2018,2018,Set,1055.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2018,2018,Set,704.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2018,2018,Set,225.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2018,2018,Set,231.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2018,2018,Out,1822.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2018,2018,Out,1177.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2018,2018,Out,125.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2018,2018,Out,178.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2018,2018,Nov,1315.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2018,2018,Nov,843.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2018,2018,Nov,172.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2018,2018,Nov,204.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2018,2018,Dez,1287.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2018,2018,Dez,743.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2018,2018,Dez,160.0
